feature,importance
vehicle_monthly_distance_km,0.3828595195164983
frequency_of_traveling_by_air,0.24936004282357066
vehicle_type,0.16159193260183785
how_many_new_clothes_monthly,0.04984635372938173
waste_bag_weekly_count,0.027195855526847952
sex,0.02601417448120783
body_type,0.02549626630426761
waste_bag_size,0.020937174307140826
heating_energy_source,0.015010808782035052
monthly_grocery_bill,0.011001826636420003
how_long_internet_daily_hour,0.008018101611567135
how_long_tv_pc_daily_hour,0.005538205056409779
transport_distance_interaction,0.003889275187164894
diet,0.0036113571607071016
energy_efficiency_heating,0.0027613247885325304
social_activity,0.0021064760587677232
how_often_shower,0.0019634698875531684
transport,0.0016401199343200072
energy_efficiency,0.001157715605769688
